insee_code,commune,median_price_m2,nb_transactions,reliability,Admin_Services,Commerce_Proximite,Divers_Other,Education,Emploi_Employment,Grandes_Surfaces,Practical_Services,Sante_Health,Social_Services,Transport,total_services
01001,L'ABERGEMENT-CLEMENCIAT,2209.206349206349,4,Low,1,0,68,1,0,0,14,0,0,0,84
01002,ABERGEMENT-DE-VAREY (L ),1769.0265486725664,1,Low,1,0,23,0,0,0,4,0,0,0,28
01004,AMBERIEU-EN-BUGEY,2409.090909090909,1088,High,98,128,9664,46,14,13,1219,15,19,36,11252
01005,AMBERIEUX-EN-DOMBES,3170.2127659574467,25,High,3,3,265,1,0,0,39,1,0,0,312
01006,AMBLEON,1973.6842105263158,9,Low,1,0,13,0,0,0,2,0,0,0,16
01007,AMBRONAY,2181.818181818182,143,High,2,4,310,2,0,0,47,1,0,2,368
01008,AMBUTRIX,1886.2594169669178,4,Low,1,0,121,1,0,0,21,0,0,0,144
01009,ANDERT-CONDON,2477.8761061946902,1,Low,1,1,17,0,0,0,1,0,0,0,20
01010,ANGLEFORT,2716.8021680216802,16,High,2,2,130,1,0,0,21,0,0,0,156
01012,ARANC,1462.5,1,Low,1,0,54,1,0,0,8,0,0,0,64
01014,ARBENT,1250.0,6,Low,2,5,637,5,1,1,77,1,0,3,732
01015,ARBOYS EN BUGEY,1230.0,1,Low,1,0,58,1,0,0,12,0,0,0,72
01017,ARGIS,760.0,1,Low,2,1,60,1,0,0,8,0,0,0,72
01021,ARS-SUR-FORMANS,2261.7354196301567,16,High,2,3,178,2,0,0,22,1,0,0,208
01022,ARTEMARE,1666.6666666666667,25,High,3,8,242,3,0,1,22,1,0,0,280
01024,ATTIGNAT,2473.1182795698924,49,High,4,6,377,2,1,0,56,1,0,1,448
01025,BAGE-DOMMARTIN,2227.7227722772277,110,High,1,5,314,3,1,1,45,1,0,1,372
01026,BAGE-LE-CHATEL,1983.1932773109243,25,High,4,2,143,1,0,0,14,0,0,0,164
01027,BALAN,3142.601787487587,36,High,1,6,276,2,0,0,53,0,0,2,340
01028,BANEINS,3105.2631578947367,1,Low,1,0,90,1,0,0,14,0,0,2,108
01029,BEAUPONT,1909.3406593406594,4,Low,2,2,72,1,0,0,7,0,0,0,84
01030,BEAUREGARD,2127.659574468085,1,Low,2,2,116,1,0,0,22,0,0,1,144
